State,Location,Value
CO,Kit Carson County,18.8
CO,Lake County,10.6
CO,La Plata County,19.8
CO,Larimer County,17.9
CO,Las Animas County,22.3
CO,Lincoln County,16.7
CO,Logan County,17.5
CO,Mesa County,21.7
CO,Mineral County,12.8
CO,Moffat County,18
CO,Montezuma County,22.3
CO,Montrose County,21.7
CO,Morgan County,17.5
CO,Otero County,20.1
CO,Ouray County,16.1
CO,Park County,13.6
CO,Phillips County,16.7
CO,Pitkin County,14
CO,Prowers County,19
CO,Pueblo County,21.4
CO,Rio Blanco County,19.5
CO,Rio Grande County,13.2
CO,Routt County,15.6
CO,Saguache County,13.3
CO,San Juan County,13.7
CO,San Miguel County,19.7
CO,Sedgwick County,16.7
CO,Summit County,12.6
CO,Teller County,13.7
CO,Washington County,18
CO,Weld County,17.5
CO,Yuma County,18.5
CT,Fairfield County,24.6
CT,Hartford County,22.6
CT,Litchfield County,19.6
CT,Middlesex County,24.7
CT,New Haven County,24.4
CT,New London County,25.4
CT,Tolland County,22.7
CT,Windham County,23
DE,Kent County,29.1
DE,New Castle County,27.8
DE,Sussex County,29.7
FL,Alachua County,47.1
FL,Baker County,44.8
FL,Bay County,47
FL,Bradford County,46.4
FL,Brevard County,55.2
FL,Broward County,59.4
FL,Calhoun County,44.8
FL,Charlotte County,54.4
FL,Citrus County,50.5
FL,Clay County,48.3
FL,Collier County,56.7
FL,Columbia County,44.3
FL,DeSoto County,52.6
FL,Dixie County,47
FL,Duval County,48.7
FL,Escambia County,46.1
FL,Flagler County,51.2
FL,Franklin County,47.2
FL,Gadsden County,44.7
FL,Gilchrist County,46.2
FL,Glades County,55.2
FL,Gulf County,46.8
FL,Hamilton County,44.1
FL,Hardee County,52.1
FL,Hendry County,56.2
FL,Hernando County,51.6
FL,Highlands County,53
FL,Hillsborough County,53.9
FL,Holmes County,43.9
FL,Indian River County,55.4
FL,Jackson County,44.6
FL,Jefferson County,46.2
FL,Lafayette County,45.4
FL,Lake County,52
FL,Lee County,56.4
FL,Leon County,45.4
FL,Levy County,49.3
FL,Liberty County,45.1
FL,Madison County,45.4
FL,Manatee County,53.1
FL,Marion County,49.4
FL,Martin County,58
FL,Miami-Dade County,60.4
FL,Monroe County,61.3
FL,Nassau County,46.6
FL,Okaloosa County,45.2
FL,Okeechobee County,54.9
FL,Orange County,53.3
FL,Osceola County,53.7
FL,Palm Beach County,58.7
FL,Pasco County,52.5
FL,Pinellas County,56.1
FL,Polk County,52.9
FL,Putnam County,49.4
FL,St. Johns County,50.8
FL,St. Lucie County,56.8
FL,Santa Rosa County,45.2
FL,Sarasota County,53.2
FL,Seminole County,53
FL,Sumter County,51
FL,Suwannee County,44.7
FL,Taylor County,47.2
FL,Union County,45
FL,Volusia County,52.3
FL,Wakulla County,46.4
FL,Walton County,45.4
FL,Washington County,44.4
GA,Appling County,42.4
GA,Atkinson County,44.2
GA,Bacon County,43.6
GA,Baker County,42.9
GA,Baldwin County,39.4
GA,Banks County,37.1
GA,Barrow County,37.5
GA,Bartow County,35.6
GA,Ben Hill County,42.9
GA,Berrien County,43.2
GA,Bibb County,40
GA,Bleckley County,41.4
GA,Brantley County,43.8
GA,Brooks County,43.6
GA,Bryan County,42.6
GA,Bulloch County,41.6
GA,Burke County,40.4
GA,Butts County,37.9
GA,Calhoun County,42.8
GA,Camden County,45.5
GA,Candler County,42
GA,Carroll County,36.6
GA,Catoosa County,35.3
GA,Charlton County,44.9
GA,Chatham County,43.6
GA,Chattahoochee County,41.2
GA,Chattooga County,36.1
GA,Cherokee County,35.3
GA,Clarke County,38
GA,Clay County,42.7
GA,Clayton County,38.4
GA,Clinch County,44.8
GA,Cobb County,37.1
GA,Coffee County,43.4
GA,Colquitt County,42.7
GA,Columbia County,40.2
GA,Cook County,43
GA,Coweta County,38.4
GA,Crawford County,40
GA,Crisp County,42.2
GA,Dade County,35.4
GA,Dawson County,34.5
GA,Decatur County,43.6
GA,DeKalb County,37.7
GA,Dodge County,42.3
GA,Dooly County,41.6
GA,Dougherty County,43.2
GA,Douglas County,37.4
GA,Early County,43.4
GA,Echols County,44.2
GA,Effingham County,41.6
GA,Elbert County,37.7
GA,Emanuel County,41.4
GA,Evans County,41.6
GA,Fannin County,31.4
GA,Fayette County,38.8
GA,Floyd County,36
GA,Forsyth County,35.8
GA,Franklin County,37
GA,Fulton County,37.5
GA,Gilmer County,32.6
GA,Glascock County,39.6
GA,Glynn County,45.1
GA,Gordon County,35.1
GA,Grady County,43.1
GA,Greene County,38.2
GA,Gwinnett County,37
GA,Habersham County,35.4
GA,Hall County,36.5
GA,Hancock County,39
GA,Haralson County,36
GA,Harris County,39.3
GA,Hart County,37.2
GA,Heard County,37
GA,Henry County,38.2
GA,Houston County,41.1
GA,Irwin County,42.7
GA,Jackson County,37.6
GA,Jasper County,37.5
GA,Jeff Davis County,42.6
GA,Jefferson County,40
GA,Jenkins County,40.8
GA,Johnson County,40.9
GA,Jones County,39
GA,Lamar County,39
GA,Lanier County,44.1
GA,Laurens County,41.7
GA,Lee County,42.7
GA,Liberty County,43
GA,Lincoln County,38.9
GA,Long County,42.4
GA,Lowndes County,43.9
GA,Lumpkin County,33.7
GA,McDuffie County,39.5
GA,McIntosh County,44.8
GA,Macon County,40.9
GA,Madison County,37.4
GA,Marion County,40.9
GA,Meriwether County,38.9
GA,Miller County,43.2
GA,Mitchell County,42.6
GA,Monroe County,38.7
GA,Montgomery County,42
GA,Morgan County,37.7
GA,Murray County,34.3
GA,Muscogee County,40.8
GA,Newton County,37.3
GA,Oconee County,38
GA,Oglethorpe County,37.7
GA,Paulding County,36.7
GA,Peach County,40.6
GA,Pickens County,34.2
GA,Pierce County,44
GA,Pike County,39.5
GA,Polk County,36.4
GA,Pulaski County,41.6
GA,Putnam County,38.2
GA,Quitman County,41.9
GA,Rabun County,33.6
GA,Randolph County,41.9
GA,Richmond County,40.9
GA,Rockdale County,37.6
GA,Schley County,41.2
GA,Screven County,40.6
GA,Seminole County,44.4
GA,Spalding County,39.1
GA,Stephens County,36.6
GA,Stewart County,41.2
GA,Sumter County,42
GA,Talbot County,39.9
GA,Taliaferro County,38.5
GA,Tattnall County,41.6
GA,Taylor County,40.4
GA,Telfair County,42.8
GA,Terrell County,42.4
GA,Thomas County,43.4
GA,Tift County,42.3
GA,Toombs County,41.8
GA,Towns County,32
GA,Treutlen County,42
GA,Troup County,37.8
GA,Turner County,42.2
GA,Twiggs County,40.9
GA,Union County,31.6
GA,Upson County,39.7
GA,Walker County,35.6
GA,Walton County,37.4
GA,Ware County,44.8
GA,Warren County,39.2
GA,Washington County,40
GA,Wayne County,42.9
GA,Webster County,41.4
GA,Wheeler County,42.4
GA,White County,34
GA,Whitfield County,35.2
GA,Wilcox County,42.4
GA,Wilkes County,38.4
GA,Wilkinson County,40.6
GA,Worth County,42.6
ID,Ada County,27
ID,Adams County,21.2
ID,Bannock County,22.1
ID,Bear Lake County,17.1
ID,Benewah County,25.9
ID,Bingham County,19.9
ID,Blaine County,17.3
ID,Boise County,20.2
ID,Bonner County,23.1
ID,Bonneville County,18.4
ID,Boundary County,20.8
ID,Butte County,15.5
ID,Camas County,17.6
ID,Canyon County,26.8
ID,Caribou County,17.9
ID,Cassia County,22.5
ID,Clark County,14.6
ID,Clearwater County,23.8
ID,Custer County,13.5
ID,Elmore County,23.5
ID,Franklin County,20.4
ID,Fremont County,14.5
ID,Gem County,25
ID,Gooding County,24.3
ID,Idaho County,19.7
ID,Jefferson County,17.5
ID,Jerome County,24.9
ID,Kootenai County,25.2
ID,Latah County,25.8
ID,Lemhi County,15.8
ID,Lewis County,24.4
ID,Lincoln County,22.2
ID,Madison County,19.3
ID,Minidoka County,21.8
ID,Nez Perce County,27.3
ID,Oneida County,21.9
ID,Owyhee County,23.2
ID,Payette County,27.6
ID,Power County,21.5
ID,Shoshone County,23.3
ID,Teton County,16.6
ID,Twin Falls County,23
ID,Valley County,14.8
ID,Washington County,25.3
IL,Adams County,22.4
IL,Alexander County,29.1
IL,Bond County,25
IL,Boone County,16.2
IL,Brown County,22.6
IL,Bureau County,17.2
IL,Calhoun County,24.2
IL,Carroll County,16
IL,Cass County,21.6
IL,Champaign County,21.4
IL,Christian County,23
IL,Clark County,23.7
IL,Clay County,25.8
IL,Clinton County,25.5
IL,Coles County,23
IL,Cook County,20.4
IL,Crawford County,24.8
IL,Cumberland County,24
IL,DeKalb County,17.2
IL,De Witt County,21
IL,Douglas County,22.4
IL,DuPage County,19
IL,Edgar County,22
IL,Edwards County,26.5
IL,Effingham County,24.7
IL,Fayette County,24.8
IL,Ford County,19.9
IL,Franklin County,27.4
IL,Fulton County,20.7
IL,Gallatin County,27
IL,Greene County,23.8
IL,Grundy County,18.8
IL,Hamilton County,26.6
IL,Hancock County,21.6
IL,Hardin County,28.4
IL,Henderson County,19.6
IL,Henry County,18.1
IL,Iroquois County,19.5
IL,Jackson County,27
IL,Jasper County,25.1
IL,Jefferson County,26.6
IL,Jersey County,24.6
IL,Jo Daviess County,16.1
IL,Johnson County,28.2
IL,Kane County,17.6
IL,Kankakee County,19.3
IL,Kendall County,18.4
IL,Knox County,18.7
IL,Lake County,19.1
IL,LaSalle County,18
IL,Lawrence County,25.2
IL,Lee County,17.2
IL,Livingston County,18.6
IL,Logan County,21.4
IL,McDonough County,21
IL,McHenry County,16.8
IL,McLean County,19.9
IL,Macon County,22
IL,Macoupin County,23.8
IL,Madison County,25.4
IL,Marion County,25.6
IL,Marshall County,18.7
IL,Mason County,21.3
IL,Massac County,29.1
IL,Menard County,21.7
IL,Mercer County,18.3
IL,Monroe County,27.2
IL,Montgomery County,23.8
IL,Morgan County,22.1
IL,Moultrie County,22.7
IL,Ogle County,16.8
IL,Peoria County,20
IL,Perry County,26.5
IL,Piatt County,21.6
IL,Pike County,23.9
IL,Pope County,28.4
IL,Pulaski County,29.1
IL,Putnam County,18.2
IL,Randolph County,26.6
IL,Richland County,25.8
IL,Rock Island County,18.2
IL,St. Clair County,26.5
IL,Saline County,27.3
IL,Sangamon County,22.4
IL,Schuyler County,22.2
IL,Scott County,23.1
IL,Shelby County,23.6
IL,Stark County,18.4
IL,Stephenson County,16.2
IL,Tazewell County,20.8
IL,Union County,27.9
IL,Vermilion County,20.6
IL,Wabash County,26.2
IL,Warren County,18.7
IL,Washington County,25.6
IL,Wayne County,26.8
IL,White County,26
IL,Whiteside County,17.1
IL,Will County,19.3
IL,Williamson County,27.7
IL,Winnebago County,16.4
IL,Woodford County,19.4
IN,Adams County,22
IN,Allen County,21.2
IN,Bartholomew County,25.6
IN,Benton County,19.2
IN,Blackford County,22.5
IN,Boone County,21.2
IN,Brown County,24.3
IN,Carroll County,21.1
IN,Cass County,21.1
IN,Clark County,26.6
IN,Clay County,23.6
IN,Clinton County,21.2
IN,Crawford County,25.8
IN,Daviess County,25.3
IN,Dearborn County,26.1
IN,Decatur County,25.1
IN,DeKalb County,19.9
IN,Delaware County,23.5
IN,Dubois County,25.7
IN,Elkhart County,20.1
IN,Fayette County,23.3
IN,Floyd County,27.1
IN,Fountain County,20.4
IN,Franklin County,24.6
IN,Fulton County,20.4
IN,Gibson County,26.5
IN,Grant County,22.2
IN,Greene County,24.4
IN,Hamilton County,22.2
IN,Hancock County,23.6
IN,Harrison County,27
IN,Hendricks County,22
IN,Henry County,23
IN,Howard County,21.5
IN,Huntington County,21.5
IN,Jackson County,25.5
IN,Jasper County,19.2
IN,Jay County,22.4
IN,Jefferson County,26.7
IN,Jennings County,25.9
IN,Johnson County,23.9
IN,Knox County,25.4
IN,Kosciusko County,20.2
IN,LaGrange County,20.2
IN,Lake County,19.7
IN,LaPorte County,19.9
IN,Lawrence County,24.5
IN,Madison County,23.4
IN,Marion County,22.9
IN,Marshall County,20.1
IN,Martin County,24.9
IN,Miami County,21.3
IN,Monroe County,23.8
IN,Montgomery County,20.8
IN,Morgan County,23.5
IN,Newton County,19
IN,Noble County,19.9
IN,Ohio County,27.2
IN,Orange County,25
IN,Owen County,23.6
IN,Parke County,21.9
IN,Perry County,26.3
IN,Pike County,25.8
IN,Porter County,19.8
IN,Posey County,27.1
IN,Pulaski County,19.9
IN,Putnam County,22
IN,Randolph County,22.8
IN,Ripley County,25.5
IN,Rush County,23.6
IN,St. Joseph County,19.8
IN,Scott County,26
IN,Shelby County,24.6
IN,Spencer County,27
IN,Starke County,20
IN,Steuben County,19.8
IN,Sullivan County,24.9
IN,Switzerland County,27.7
IN,Tippecanoe County,20.5
IN,Tipton County,21.8
IN,Union County,23.6
IN,Vanderburgh County,27.9
IN,Vermillion County,21.4
IN,Vigo County,23.7
IN,Wabash County,21.2
IN,Warren County,19.8
IN,Warrick County,27.1
IN,Washington County,25.3
IN,Wayne County,23
IN,Wells County,22
IN,White County,20
IN,Whitley County,20.3
IA,Adair County,16.8
IA,Adams County,17.6
IA,Allamakee County,13.9
IA,Appanoose County,18.2
IA,Audubon County,16.2
IA,Benton County,14.1
IA,Black Hawk County,13.6
IA,Boone County,15.7
IA,Bremer County,13.4
IA,Buchanan County,13.2
IA,Buena Vista County,14.1
IA,Butler County,13.8
IA,Calhoun County,14.8
IA,Carroll County,15.8
IA,Cass County,17.3
IA,Cedar County,15.9
IA,Cerro Gordo County,12.6
IA,Cherokee County,13.4
IA,Chickasaw County,12.7
IA,Clarke County,18
IA,Clay County,12.3
IA,Clayton County,14.6
IA,Clinton County,17
IA,Crawford County,16
IA,Dallas County,16.8
IA,Davis County,18.8
IA,Decatur County,18.8
IA,Delaware County,14.4
IA,Des Moines County,19.1
IA,Dickinson County,10.9
IA,Dubuque County,15.9
IA,Emmet County,11.3
IA,Fayette County,13.3
IA,Floyd County,13.1
IA,Franklin County,13.4
IA,Fremont County,18.9
IA,Greene County,15.6
IA,Grundy County,14.4
IA,Guthrie County,16.3
IA,Hamilton County,14
IA,Hancock County,12
IA,Hardin County,14.3
IA,Harrison County,16.2
IA,Henry County,16.8
IA,Howard County,11.7
IA,Humboldt County,13.3
IA,Ida County,15.1
IA,Iowa County,15.8
IA,Jackson County,16.6
IA,Jasper County,16.7
IA,Jefferson County,17.5
IA,Johnson County,16
IA,Jones County,16.4
IA,Keokuk County,17.2
IA,Kossuth County,12.3
IA,Lee County,19.9
IA,Linn County,14.9
IA,Louisa County,17.6
IA,Lucas County,17.8
IA,Lyon County,12.1
IA,Madison County,17.2
IA,Mahaska County,17.4
IA,Marion County,17.6
IA,Marshall County,15.5
IA,Mills County,18.5
IA,Mitchell County,12.2
IA,Monona County,16
IA,Monroe County,18.2
IA,Montgomery County,18.3
IA,Muscatine County,16.2
IA,O'Brien County,12.3
IA,Osceola County,11.4
IA,Page County,19.2
IA,Palo Alto County,13.3
IA,Plymouth County,13.8
IA,Pocahontas County,13.6
IA,Polk County,17.6
IA,Pottawattamie County,17.6
IA,Poweshiek County,15.8
IA,Ringgold County,18.9
IA,Sac County,15
IA,Scott County,18.2
IA,Shelby County,16.3
IA,Sioux County,12.8
IA,Story County,15.9
IA,Tama County,14.9
IA,Taylor County,19.1
IA,Union County,17.6
IA,Van Buren County,18.2
IA,Wapello County,18.7
IA,Warren County,17.6
IA,Washington County,16.6
IA,Wayne County,18
IA,Webster County,14.2
IA,Winnebago County,11
IA,Winneshiek County,12.4
IA,Woodbury County,15
IA,Worth County,11.2
IA,Wright County,12.8
KS,Allen County,26.4
KS,Anderson County,25.5
KS,Atchison County,22.6
KS,Barber County,24
KS,Barton County,21.1
KS,Bourbon County,27.2
KS,Brown County,21.2
KS,Butler County,25.1
KS,Chase County,23.7
KS,Chautauqua County,26.8
KS,Cherokee County,28.2
KS,Cheyenne County,18.7
KS,Clark County,22.7
KS,Clay County,22
KS,Cloud County,20.8
KS,Coffey County,24.9
KS,Comanche County,23.2
KS,Cowley County,26.4
KS,Crawford County,27.4
KS,Decatur County,17.8
