G_ID,ZIP
72023830400,623
72111730800,624
72039955700,638
72051540100,646
72051540300,646
72054580200,650
72059740300,656
72071410100,662
72097080200,682
72143550500,692
72153750502,698
72015280202,714
72025200600,725
72025202403,727
72127010032,725
72113070522,730
72113070100,730
72113070300,730
72119130200,745
72123953000,751
72133953800,757
72147950600,765
72043954700,769
72045951900,782
72057270300,784
72057270800,784
72075710500,795
72127980105,901
72127000400,901
72127001600,909
72127980101,918
72127006102,917
72127005215,924
72127005000,924
72127007400,920
72127005401,924
72127009300,925
72127005214,924
72127008700,925
72127010002,926
72127009614,926
72135510300,953
72127008602,927
72127008601,927
72137121400,949
72137122201,949
72021031612,956
72021031023,957
72021030903,959
72021030300,959
72127006300,959
72061040421,969
72139060222,976
72061040102,965
72031050221,983
72139060404,976
72031050211,983
72031050841,985
72031050212,983
25015820400,1002
72031050902,987
72031050402,987
72031050504,987
25013811101,1013
25013811200,1013
25013810700,1020
25013810601,1020
25013810800,1020
25013813206,1030
25015822606,1032
25015822603,1027
25013812101,1040
25013810414,1056
25013811500,1040
25013813000,1050
25015822700,1070
25013810100,1069
25015822200,1062
25013810200,1069
25013813701,1057
25013810404,1056
25013813101,1077
25013812500,1085
25015822606,1096
25013800201,1104
25013813304,1106
25013802500,1118
25003900800,1201
25003934300,1230
25003932300,1235
25003933200,1245
25003913100,1238
25003934200,1266
25011041300,1301
25011041501,1330
25011040400,1344
25011040400,1380
25027709202,1453
25027709400,1453
25027707300,1440
25027707200,1440
25027738201,1519
25027737300,1527
25027739300,1545
25027726200,1562
25027754400,1570
25027730700,1602
25027730902,1602
25027724100,1585
25027729100,1583
25027755100,1571
25027731400,1602
25027732201,1604
25027731002,1603
25027731101,1603
25027731500,1609
25027730100,1606
25017383800,1701
25017385100,1721
25017385201,1721
25017387201,1746
25017321600,1752
25017382200,1760
25017333600,1801
25017332400,1803
25017317101,1824
25009260401,1832
25009261101,1835
25009261102,1835
25009251600,1843
25009251100,1841
25009251000,1841
25009252502,1844
25017310400,1850
25017311900,1852
25017312000,1852
25017311500,1851
25017311600,1851
25017315401,1876
25017338300,1890
25009207000,1902
25009205300,1904
25009205500,1902
