zip,USAC_Gender,USAC_Age,Road_Cat,Track_Cat, XC_Cat, DH_Cat, OT_Cat, MX_Cat, Cross_Cat
63017,M,72,5,5,3,3,3,3,5
94404,M,59,4,5,3,3,3,3,4
80516,M,56,4,4,3,3,3,3,4
41015,M,51,5,5,2,1,3,1,4
78154,M,62,2,3,3,3,3,3,2
11211,M,40,2,5,1,1,3,1,2
4106,M,59,3,5,2,2,3,2,3
21738,M,54,1,4,1,2,2,2,1
28801,M,48,3,5,1,2,2,3,2
92082,M,48,2,2,1,2,2,3,2
10302,M,59,3,4,2,2,3,2,4
93190,M,53,1,3,1,1,2,1,1
98115,M,58,2,3,3,3,3,3,4
78247,M,49,2,5,1,2,2,3,1
80134,M,53,4,4,2,3,3,3,3
15501,M,57,3,4,2,3,3,3,3
1527,M,56,3,5,1,1,3,1,3
83712,F,61,4,4,2,3,3,3,4
1915,M,44,2,5,1,2,2,2,3
95060,M,50,4,4,3,3,3,3,3
12866,M,62,5,5,1,2,3,2,3
72205,M,50,4,5,1,2,3,2,4
7013,M,72,3,4,2,3,3,3,3
91741,M,48,2,4,2,3,3,3,2
34771,M,42,5,5,2,3,3,3,3
22801,M,42,1,5,1,1,2,1,1
53181,M,45,4,4,1,2,2,2,3
2720,M,59,3,5,1,2,3,2,3
21146,M,49,1,4,1,1,3,1,1
91325,M,49,2,5,2,2,2,2,2
93401,M,61,1,2,1,1,3,1,2
17064,M,58,2,4,1,2,3,2,3
4110,M,66,2,5,3,3,3,3,2
27523,M,45,1,4,1,1,3,1,2
23113,M,56,5,5,1,3,2,3,5
30328,M,47,3,5,2,2,3,2,3
94551,M,53,3,4,2,3,3,3,4
21042,M,50,4,5,2,2,3,2,2
1810,M,55,3,4,3,3,3,3,3
48304,M,42,5,5,3,3,3,3,3
63021,M,48,3,5,1,2,3,2,2
53150,M,49,3,3,2,3,3,3,2
75033,M,50,4,4,3,3,3,3,5
19460,M,62,3,5,3,3,3,2,4
37909,M,50,4,5,2,2,2,2,4
80904,M,52,3,5,1,2,3,3,1
75214,M,49,2,1,1,1,3,1,2
98040,M,50,3,5,1,1,1,3,3
76444,M,45,2,5,1,1,3,1,1
80528,M,51,4,5,3,3,3,3,2
5155,M,46,3,5,1,1,3,1,3
54701,M,60,3,3,2,2,3,2,3
93111,M,49,5,5,1,2,3,2,3
80524,M,73,2,2,1,1,3,1,2
64762,M,48,5,5,1,3,3,3,5
1915,M,52,3,5,1,2,3,3,2
97405,M,50,1,2,2,2,3,2,1
3904,M,54,3,5,1,2,3,2,3
1590,M,54,2,5,2,2,3,2,3
75028,M,70,3,4,2,2,2,2,3
5452,M,49,3,5,1,2,2,2,3
18049,M,52,3,2,1,1,3,1,3
5149,M,49,3,4,2,3,3,3,3
80525,M,70,3,4,3,3,3,3,4
27312,M,47,5,5,3,3,3,3,4
95991,M,47,1,5,2,2,2,2,1
41015,M,51,3,4,3,3,3,3,3
75081,M,52,3,4,3,3,3,3,4
64014,M,49,2,4,2,2,3,2,3
80027,M,50,4,4,2,2,3,2,4
85716,M,62,5,5,1,2,3,2,3
89135,M,52,3,5,1,2,3,2,3
98110,M,56,3,4,3,3,3,3,2
2476,M,50,3,2,2,3,3,3,3
30041,M,52,3,4,3,3,3,3,3
98003,M,54,3,3,1,1,3,1,2
83340,M,51,1,1,1,2,3,2,1
44077,M,65,4,4,3,3,2,3,3
11211,M,47,4,5,2,2,3,2,4
94901,M,55,,,,,,,
87507,M,41,1,5,1,1,1,3,1
8560,M,77,3,4,3,3,3,3,4
70471,M,62,3,4,2,3,3,3,3
20011,M,50,4,5,3,3,3,3,4
92262,M,65,3,3,3,3,3,3,3
6107,M,54,4,4,2,3,3,3,4
85355,M,41,3,5,2,2,3,2,4
4021,M,56,3,4,1,1,2,1,3
22901,M,61,4,4,1,1,2,1,3
94402,M,59,3,2,2,2,2,2,5
80403,M,53,4,4,2,2,3,2,4
35244,M,62,2,5,1,1,1,1,3
2535,M,45,3,5,1,1,2,1,1
6437,M,57,3,4,2,2,3,2,3
98058,M,47,2,2,1,3,3,3,2
20009,M,40,5,5,2,2,3,2,3
28273,M,54,5,5,2,2,2,3,4
80301,M,43,4,5,1,1,3,1,2
38019,M,59,2,3,2,2,2,2,2
18923,M,46,2,1,2,2,3,2,2
2874,M,52,2,4,1,1,3,1,2
95062,M,63,4,4,1,1,1,3,3
35114,M,54,4,4,2,2,3,2,4
28607,M,48,4,5,2,2,3,2,3
81301,M,49,1,4,1,1,3,1,1
97223,M,51,1,4,1,1,3,1,1
92886,M,61,4,4,3,3,3,3,4
2891,M,45,1,4,1,1,3,1,1
96822,M,57,2,2,1,3,2,3,2
30030,M,47,3,5,1,1,1,1,3
