zip,Total_racers,Male_Racers,Female_Racers,Junior_Racers,Elite_Racers,Master_Racers,Pro_Road_Racers,Pro_MTB_Racers,Pro_Track_Racers,Pro_Cross_Racers,Mid_Road_Racers,Mid_MTB_Racers,Mid_Track_Racers,Mid_Cross_Racers
19028,1,1,0,0,0,1,0,0,0,0,0,1,0,0
19030,1,1,0,0,0,1,0,0,0,0,0,1,0,0
19031,4,3,1,1,1,2,1,3,0,0,1,3,0,2
19033,1,1,0,0,0,1,0,0,0,0,0,1,0,0
19034,1,1,0,0,0,1,0,1,0,0,0,1,0,1
19035,3,3,0,0,3,0,0,1,0,1,1,3,0,0
19036,1,1,0,0,0,1,0,0,0,0,1,1,0,1
19038,7,6,1,0,4,3,0,2,0,1,4,7,0,3
19040,1,0,1,0,0,1,0,0,0,0,1,1,0,0
19041,4,3,1,0,2,2,1,0,0,0,1,4,0,1
19046,5,4,1,1,0,4,0,1,0,0,4,5,0,3
19047,4,4,0,0,1,3,1,1,0,1,0,4,0,0
19050,1,0,1,0,1,0,0,0,0,0,0,1,0,0
19053,2,2,0,0,1,1,0,0,0,0,0,2,0,0
19054,1,1,0,0,0,1,0,0,0,0,0,1,0,0
19063,8,7,1,2,1,5,0,2,0,1,3,8,0,2
19064,5,4,1,0,4,1,2,1,0,1,0,4,1,1
19066,4,3,1,0,0,4,1,2,0,1,0,2,0,0
19067,10,9,1,0,2,8,1,3,0,0,1,10,0,3
19070,1,1,0,0,0,1,0,0,0,0,0,1,0,0
19072,4,4,0,0,2,2,0,2,0,0,1,4,0,3
19073,8,6,2,2,1,5,0,0,0,0,1,8,0,1
19075,3,3,0,0,1,2,0,1,0,0,1,3,1,1
19078,1,1,0,0,1,0,0,0,0,0,0,1,0,0
19081,1,1,0,0,0,1,0,0,0,0,0,1,0,0
19082,1,1,0,1,0,0,0,0,0,0,1,1,0,0
19083,5,4,1,0,3,2,1,2,0,1,0,4,1,0
19086,5,4,1,0,0,5,1,2,0,0,0,5,0,2
19087,18,17,1,3,2,13,3,4,0,1,2,17,1,2
19090,3,3,0,0,1,2,0,1,0,0,1,3,0,0
19096,7,6,1,1,2,4,2,1,1,1,3,7,0,1
19102,12,11,1,12,0,0,0,0,0,0,0,12,0,0
19103,12,9,3,0,9,3,0,0,0,0,3,12,0,1
19104,5,3,2,0,5,0,1,0,0,0,1,5,0,0
19106,6,5,1,1,1,4,1,1,0,1,1,5,0,1
19111,2,2,0,0,0,2,0,2,0,0,1,1,0,1
19114,1,1,0,0,0,1,0,0,0,0,1,1,0,1
19115,2,2,0,0,0,2,0,0,0,0,1,2,0,0
19116,1,1,0,0,0,1,0,0,0,0,0,1,0,0
19118,7,6,1,2,1,4,2,4,0,1,1,7,0,3
19119,6,2,4,0,2,4,1,3,0,0,1,6,0,3
19121,7,5,2,0,6,1,2,2,2,2,0,7,0,1
19122,3,2,1,0,3,0,0,1,0,0,1,3,0,1
19123,7,6,1,1,5,1,1,3,0,2,2,6,0,0
19125,12,8,4,0,10,2,1,1,1,2,2,12,0,3
19127,7,4,3,0,6,1,2,0,0,1,2,7,0,0
19128,20,13,7,1,11,8,3,7,0,4,6,19,0,3
19129,10,8,2,0,8,2,4,3,0,1,2,10,0,3
19130,26,15,11,0,17,9,1,2,0,0,5,26,1,2
19131,1,0,1,0,0,1,0,0,0,0,0,1,1,0
19132,1,0,1,0,1,0,0,1,0,0,1,1,0,0
19134,1,1,0,0,1,0,0,0,0,0,1,1,0,0
19136,1,1,0,0,0,1,0,0,0,0,1,1,1,1
19139,6,2,4,0,5,1,0,1,0,1,2,6,1,1
19143,17,11,6,0,14,3,5,3,0,3,1,15,0,2
19144,6,5,1,0,1,5,2,4,1,2,2,6,0,2
19145,16,13,3,0,11,5,4,2,1,2,2,16,0,4
19146,17,15,2,0,13,4,2,6,2,1,5,16,0,2
19147,31,23,8,0,21,10,4,10,2,4,6,31,2,4
19148,14,7,7,0,10,4,4,4,0,3,1,14,1,3
19150,1,1,0,0,0,1,0,0,0,0,0,1,0,0
19152,1,1,0,0,0,1,0,0,0,0,0,1,0,0
19154,1,1,0,0,1,0,0,0,0,0,0,1,0,0
19172,1,0,1,0,1,0,0,0,0,1,0,1,0,0
19301,3,3,0,0,3,0,1,2,0,1,0,3,0,1
19311,4,3,1,1,0,3,1,1,1,0,1,4,0,1
19312,9,7,2,0,1,8,0,2,0,1,4,9,0,2
19317,2,2,0,0,0,2,0,1,0,0,0,2,0,1
19320,7,7,0,0,2,5,0,5,0,1,2,7,1,3
19330,2,1,1,0,0,2,0,1,0,0,0,2,0,0
19333,6,5,1,0,4,2,2,3,0,3,1,5,0,1
19335,13,11,2,1,5,7,3,4,0,0,2,12,1,5
19341,4,3,1,0,1,3,2,2,1,2,0,3,0,0
19342,2,2,0,0,2,0,1,1,0,0,1,2,0,2
19343,4,2,2,1,2,1,0,1,0,0,0,4,0,0
19348,7,6,1,0,2,5,0,3,0,0,3,6,0,1
19350,7,7,0,2,1,4,1,5,0,3,2,6,0,0
19355,7,7,0,0,4,3,1,2,0,1,1,6,0,1
19363,2,2,0,0,0,2,0,1,0,0,0,2,0,0
19365,4,3,1,2,1,1,2,1,0,1,0,4,0,1
19373,1,1,0,1,0,0,0,0,0,0,0,1,0,0
19380,17,13,4,1,6,10,2,11,0,6,5,15,0,3
19382,13,12,1,0,2,11,2,3,2,3,2,12,2,2
19390,2,2,0,0,0,2,0,0,0,0,0,2,0,0
19401,3,1,2,0,0,3,0,0,0,0,1,3,0,0
19403,13,12,1,0,5,8,1,3,1,0,2,12,0,4
19406,5,5,0,0,2,3,1,1,1,0,3,5,0,1
19422,7,7,0,0,2,5,1,1,0,0,1,7,0,1
19425,9,9,0,0,1,8,4,5,0,3,3,9,1,4
19426,12,10,2,1,4,7,0,5,0,0,0,10,0,1
19428,8,7,1,0,4,4,1,2,1,1,1,8,0,0
19438,1,1,0,0,1,0,0,0,0,0,0,1,0,0
19440,2,2,0,0,0,2,0,0,1,0,1,2,0,1
19444,1,1,0,0,0,1,0,0,0,0,1,1,0,1
19446,13,12,1,1,5,7,2,1,0,1,1,13,1,2
19453,1,0,1,0,0,1,0,0,0,0,0,1,0,0
19454,2,2,0,0,2,0,0,0,0,0,0,2,0,0
19460,29,22,7,4,11,14,5,12,1,3,6,28,3,10
19462,3,3,0,0,2,1,0,0,0,0,0,3,0,0
19464,4,4,0,1,1,2,0,1,0,0,0,4,0,1
19465,8,7,1,1,2,5,0,2,0,0,2,8,1,2
19468,7,7,0,1,1,5,3,2,1,1,0,7,0,1
19470,2,2,0,0,2,0,1,0,0,0,1,2,0,0
19473,3,3,0,0,0,3,0,1,0,1,2,2,0,0
19474,1,1,0,0,0,1,0,1,0,0,0,1,0,1
19475,2,1,1,0,1,1,1,0,1,1,0,2,0,0
19503,1,1,0,0,1,0,1,0,1,1,0,1,0,0
19504,3,3,0,1,1,1,1,1,0,0,1,3,0,2
19505,2,2,0,0,0,2,0,0,0,0,1,2,0,0
19506,1,1,0,0,1,0,0,0,0,0,0,1,0,0
19508,1,1,0,0,0,1,0,1,0,0,1,1,0,0
19510,2,2,0,0,1,1,1,1,0,0,0,2,1,1
19512,3,3,0,1,1,1,0,1,0,0,1,3,0,0
19518,1,1,0,0,0,1,0,1,0,0,1,1,0,0
19520,1,1,0,0,0,1,0,1,0,0,1,0,0,1
19522,6,5,1,1,2,3,1,0,0,1,3,6,2,3
19523,1,0,1,1,0,0,0,0,0,0,0,1,0,0
19526,2,2,0,0,1,1,0,0,0,0,1,2,0,1
19529,3,3,0,2,1,0,0,0,0,0,0,3,0,0
19530,9,7,2,3,3,3,0,2,2,1,3,8,3,2
19533,1,1,0,0,0,1,0,0,0,0,0,1,0,0
19539,5,2,3,2,2,1,1,2,1,0,1,5,0,1
19540,1,1,0,0,0,1,1,0,0,0,0,1,0,0
19543,1,1,0,0,0,1,1,1,1,1,0,1,0,0
19547,2,2,0,1,0,1,0,0,0,0,0,2,0,0
19555,1,1,0,0,1,0,0,0,0,0,0,1,0,0
19562,1,1,0,0,0,1,0,0,0,0,0,1,0,1
19567,1,1,0,0,0,1,0,0,0,0,0,1,0,0
19602,1,1,0,0,0,1,0,1,0,0,0,1,0,0
19604,2,1,1,0,2,0,0,1,0,0,0,2,0,0
19605,2,2,0,0,1,1,0,1,0,0,0,2,0,0
19606,4,4,0,0,1,3,1,1,0,1,0,3,0,0
19607,2,2,0,0,0,2,0,0,0,0,0,2,0,0
19608,8,8,0,2,1,5,0,0,0,0,2,8,1,0
19609,2,2,0,0,1,1,1,0,0,0,1,2,0,0
19610,8,7,1,0,6,2,1,1,0,0,1,8,0,1
19611,1,1,0,0,1,0,0,0,0,0,0,1,0,0
19701,1,1,0,0,0,1,0,1,0,0,0,1,0,0
19702,2,1,1,0,1,1,0,1,0,0,0,2,0,1
19707,7,5,2,0,2,5,2,1,1,1,1,7,0,0
19709,1,1,0,0,0,1,0,0,0,0,0,1,0,0
19711,10,9,1,0,5,5,2,7,1,4,2,10,0,2
19713,4,3,1,0,3,1,2,0,0,1,0,4,0,1
19720,2,1,1,0,0,2,0,1,0,0,1,2,0,0
19801,1,0,1,0,0,1,0,1,0,0,0,1,0,0
19802,1,0,1,0,1,0,0,0,0,0,0,1,0,0
19803,12,9,3,0,1,11,2,7,0,4,3,12,2,2
19804,1,1,0,0,0,1,0,1,0,0,0,1,0,1
19805,2,2,0,0,0,2,1,1,0,1,0,2,1,0
19806,5,5,0,0,1,4,0,1,0,1,2,5,0,0
19807,7,7,0,0,1,6,0,1,0,0,0,7,0,0
19808,5,3,2,0,3,2,0,2,0,1,0,5,0,0
19809,4,3,1,0,1,3,1,2,0,1,1,4,0,1
19810,6,5,1,0,0,6,0,1,0,0,1,6,1,0
19930,1,1,0,0,0,1,0,1,0,0,1,0,0,1
19934,1,0,1,0,0,1,0,1,0,0,0,1,0,0
19938,1,1,0,0,1,0,0,0,0,0,0,1,0,0
19946,1,1,0,0,0,1,0,0,0,0,1,1,0,0
19947,1,1,0,0,1,0,0,0,0,0,0,1,0,0
19958,2,2,0,0,0,2,0,0,0,0,0,2,0,0
19962,2,2,0,0,0,2,0,1,0,0,0,2,0,0
19963,3,3,0,0,1,2,0,0,0,0,0,3,0,0
19968,1,1,0,0,0,1,0,0,0,0,0,1,0,1
19970,1,1,0,0,0,1,0,0,0,0,0,1,0,0
20001,20,19,1,0,14,6,3,2,1,2,2,20,0,2
20002,51,46,5,2,37,12,10,5,1,4,13,50,1,8
20003,23,19,4,0,14,9,4,7,0,4,4,22,0,5
20005,4,4,0,0,3,1,1,0,0,0,1,4,0,1
20006,1,1,0,0,0,1,0,0,0,0,0,1,0,0
20007,18,16,2,0,8,10,3,1,0,1,0,18,0,3
20008,26,24,2,4,12,10,4,3,1,2,4,26,2,8
20009,35,28,7,2,20,13,5,3,1,3,3,34,1,4
20010,28,21,7,1,21,6,1,2,1,2,3,28,0,3
20011,26,19,7,3,14,9,3,4,0,2,1,25,2,3
20012,10,9,1,1,5,4,1,1,0,1,3,10,0,0
20013,1,1,0,0,1,0,0,0,0,0,0,1,0,1
20015,22,19,3,4,7,11,4,5,1,3,3,21,1,8
20016,29,25,4,4,8,17,4,4,1,1,4,29,1,8
20017,9,4,5,0,7,2,0,1,0,1,1,9,0,1
20018,3,2,1,0,1,2,0,1,0,0,0,3,0,2
20019,1,1,0,0,1,0,1,0,0,1,0,1,1,0
20020,5,2,3,0,4,1,0,1,0,0,2,5,1,2
20024,10,6,4,0,7,3,4,2,1,3,1,10,2,1
20032,1,1,0,0,1,0,0,0,0,0,0,1,0,1
20036,1,1,0,0,1,0,0,0,0,0,0,1,0,0
20037,3,2,1,0,2,1,0,0,0,0,0,3,0,0
20089,1,1,0,0,0,1,0,0,0,0,0,1,0,0
20105,5,5,0,1,2,2,1,1,0,0,1,5,0,2
20106,1,1,0,0,0,1,1,1,0,1,0,1,0,0
20109,1,1,0,0,0,1,0,0,0,0,0,1,0,0
20111,3,3,0,0,2,1,0,1,0,0,0,3,0,0
20112,9,8,1,4,2,3,0,3,0,0,2,9,0,1
20115,2,2,0,1,1,0,1,1,1,1,0,1,0,0
20117,1,1,0,0,0,1,0,1,0,0,0,1,0,0
20118,1,0,1,0,1,0,0,0,0,0,0,1,0,0
20120,2,1,1,0,0,2,0,0,0,0,0,2,0,0
20124,2,2,0,0,0,2,0,1,0,0,0,2,0,0
20129,1,1,0,0,0,1,0,0,0,0,0,1,0,0
20131,1,1,0,0,0,1,0,0,0,0,0,1,0,0
20132,10,10,0,0,3,7,0,4,0,2,0,9,0,1
20135,1,0,1,0,0,1,0,1,0,0,0,0,0,1
20136,1,1,0,0,0,1,0,0,0,0,0,1,0,0
20141,1,1,0,0,1,0,0,1,0,0,0,1,0,0
20144,1,1,0,0,0,1,1,1,1,1,0,1,0,0
20147,9,8,1,1,1,7,2,1,0,0,0,9,1,3
20148,9,8,1,2,5,2,0,0,0,0,2,9,0,1
20151,2,2,0,1,1,0,0,1,0,0,0,2,0,0
20152,8,7,1,2,1,5,0,0,0,0,0,8,0,0
20155,5,5,0,1,0,4,0,1,0,0,1,4,0,0
20164,8,6,2,1,3,4,3,3,0,1,3,8,1,1
20165,9,8,1,2,2,5,1,0,0,0,1,9,0,1
20166,3,2,1,0,1,2,0,0,0,0,1,3,1,0
20169,7,6,1,1,1,5,0,2,0,0,0,7,0,1
20170,15,12,3,0,5,10,3,4,0,2,3,15,0,4
20171,15,12,3,2,4,9,1,0,0,1,2,15,0,1
20175,10,10,0,0,3,7,2,2,0,0,2,10,2,3
20176,14,10,4,3,5,6,0,4,0,1,1,14,0,1
20180,3,3,0,0,0,3,0,0,0,0,1,3,0,0
20181,2,2,0,0,0,2,1,2,0,1,0,2,0,0
20186,11,10,1,2,7,2,3,3,1,3,0,11,0,1
20187,1,1,0,0,0,1,0,0,0,0,0,1,0,0
20190,6,6,0,0,2,4,0,1,0,0,1,6,0,1
20191,20,17,3,2,4,14,2,6,0,0,2,20,0,7
20194,11,11,0,2,3,6,2,5,1,3,2,11,1,3
20198,1,1,0,0,1,0,0,1,0,0,0,1,0,0
20406,1,1,0,0,1,0,0,0,0,0,0,1,0,0
20431,1,1,0,0,0,1,0,0,0,0,1,1,1,1
20601,1,1,0,0,0,1,0,0,0,0,0,1,0,0
20603,4,4,0,0,2,2,0,0,0,0,0,4,0,0
20607,1,1,0,0,0,1,0,1,0,0,1,1,0,1
